Date,value,Model Code,Model check code
2002-05-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2002-06-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2002-07-01,23.63,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2002-08-01,23.78,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2002-09-01,23.65,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2002-10-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2002-11-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2002-12-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2003-01-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2003-02-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2003-03-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2003-04-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2003-05-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2003-06-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2003-07-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2003-08-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2003-09-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2003-10-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2003-11-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2003-12-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2004-01-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2004-02-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2004-03-01,31.4,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2004-04-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2004-05-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2004-06-01,33.46,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2004-07-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2004-08-01,35.24,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2004-09-01,40.77,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2004-10-01,41.86,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2004-11-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2004-12-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2005-01-01,37.41,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
2005-02-01,41.43,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_M/PRICE/ALL,IVE2210008.M
1981-01-01,33.6,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_A/PRICE/ALL,IVE2210008.A
1982-01-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_A/PRICE/ALL,IVE2210008.A
1983-01-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_A/PRICE/ALL,IVE2210008.A
1984-01-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_A/PRICE/ALL,IVE2210008.A
1985-01-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_A/PRICE/ALL,IVE2210008.A
1986-01-01,11.8,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_A/PRICE/ALL,IVE2210008.A
1987-01-01,16.81,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_A/PRICE/ALL,IVE2210008.A
1988-01-01,14.5,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_A/PRICE/ALL,IVE2210008.A
1989-01-01,16.68,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_A/PRICE/ALL,IVE2210008.A
1990-01-01,21.28,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_A/PRICE/ALL,IVE2210008.A
1991-01-01,16.4,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_A/PRICE/ALL,IVE2210008.A
1992-01-01,16.21,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_A/PRICE/ALL,IVE2210008.A
1993-01-01,13.76,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_A/PRICE/ALL,IVE2210008.A
